,개방자치단체코드,인허가일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,지번주소,도로명주소,Latitude,Longitude,사업장명,업태구분명,점포구분명
50,3220000,2012/05/18,1,영업/정상,1,정상영업,2023/01/02,272.02,,"서울특별시 강남구 압구정로18길 25 (신사동, 한국산업양행빌딩)",37.5233078,127.0254152,(주)지에스리테일 신사점,구분없음,준대규모점포
52,3220000,2013/06/04,1,영업/정상,1,정상영업,2023/01/02,231.0,,서울특별시 강남구 학동로 176 (논현동),37.5135239,127.0301914,홈플러스익스프레스 학동역점,구분없음,준대규모점포
55,3220000,2012/07/02,3,폐업,3,폐업처리,2014/06/15,180.8,,서울특별시 강남구 논현로 468 (역삼동),37.5000776,127.0385419,롯데쇼핑(주)롯데슈퍼 역삼점,,준대규모점포
56,3220000,2011/11/24,1,영업/정상,1,정상영업,2023/01/02,177.7,,서울특별시 강남구 역삼로 230 (역삼동),37.4968936,127.0419635,롯데슈퍼 역삼2동점,구분없음,준대규모점포
57,3220000,2011/12/02,1,영업/정상,1,정상영업,2023/01/02,336.2,,서울특별시 강남구 역삼로8길 15 (역삼동),37.4931369,127.0342293,롯데슈퍼 역삼1동점,구분없음,준대규모점포
58,3220000,2012/01/19,1,영업/정상,1,정상영업,2023/01/02,177.8,,"서울특별시 강남구 언주로122길 25 (논현동, 두산위브아파트)",37.5144337,127.0243283,롯데슈퍼 논현점,구분없음,준대규모점포
59,3220000,2012/07/02,3,폐업,3,폐업처리,2021/12/30,120.07,,서울특별시 강남구 도산대로35길 39 (신사동),37.523493,127.0303445,롯데슈퍼 압구정점,구분없음,준대규모점포
61,3220000,2012/07/02,1,영업/정상,1,정상영업,2023/01/02,294.9,,서울특별시 강남구 봉은사로103길 5 (삼성동),37.5149946,127.0614151,롯데슈퍼 코엑스점,구분없음,
62,3220000,2012/07/02,1,영업/정상,1,정상영업,2023/01/02,503.8,,"서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)",37.4868514,127.0487982,롯데슈퍼 도곡점,구분없음,준대규모점포
63,3220000,2014/09/16,1,영업/정상,1,정상영업,2023/01/02,510.88,서울특별시 강남구 논현동 140번지,"서울특별시 강남구 강남대로128길 128-20, 1층 101,104,106호 (논현동, 영동프라자)",37.5111262,127.0254209,(주)지에스리테일 GS슈퍼 강남 논현점,구분없음,준대규모점포
64,3220000,2014/11/25,1,영업/정상,1,정상영업,2023/01/02,13667.0,,서울특별시 강남구 테헤란로87길 22-0 (삼성동),37.5095909,127.0592738,도심공항몰(CALT MALL),쇼핑센터,대규모점포
66,3220000,2016/12/29,1,영업/정상,1,정상영업,2023/01/02,358.71,,"서울특별시 강남구 삼성로 633, 1층 (삼성동, 삼광빌딩)",37.5145427,127.0636849,노브랜드 삼성점,구분없음,준대규모점포
69,3220000,2022/04/12,1,영업/정상,1,정상영업,2023/01/02,794.7,서울특별시 강남구 신사동 510-11 강남상가아파트,"서울특별시 강남구 압구정로2길 46, 1층 (신사동, ---------)",37.5187712,127.0206688,이마트에브리데이 강남시장점,구분없음,
70,3220000,2022/09/15,1,영업/정상,1,정상영업,2023/01/02,198.0,서울특별시 강남구 신사동 638-6,"서울특별시 강남구 압구정로 312, 신사동동 1층 (신사동)",37.528757,127.0355137,GS THE FRESH 압구정점,구분없음,
