개방자치단체코드,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,Latitude,Longitude,사업장명,업태구분명,점포구분명
3220000,1984/03/07,,2,휴업,2,휴업처리,2023/01/02,,,,,서울특별시 강남구 압구정동 456호,,,,(주)금강개발산업,그 밖의 대규모점포,
3220000,1984/02/08,,1,영업/정상,1,정상영업,2023/01/02,,,,11740.39,서울특별시 강남구 대치동 511번지 한보미도맨션,"서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)",37.4933928,127.0673501,한보종합상가,그 밖의 대규모점포,대규모점포
3220000,1996/11/15,,1,영업/정상,1,정상영업,2023/01/02,,,,12025.9,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),37.499217,127.0484398,한솔필리아,그 밖의 대규모점포,대규모점포
3220000,1974/11/10,,1,영업/정상,1,정상영업,2023/01/02,,,,3062.7,서울특별시 강남구 신사동 510번지 11호,서울특별시 강남구 압구정로2길 46 (신사동),37.5187712,127.0206688,강남시장,복합쇼핑몰,대규모점포
3220000,1973/08/01,,3,폐업,3,폐업처리,2013/02/14,,,,0,서울특별시 강남구 논현동 122번지 8호,서울특별시 강남구 학동로4길 15 (논현동),37.5105327,127.0235227,영동시장,그 밖의 대규모점포,대규모점포
3220000,1979/01/17,,1,영업/정상,1,정상영업,2023/01/02,,,,0,서울특별시 강남구 논현동 227번지 4호,서울특별시 강남구 봉은사로33길 33 (논현동),37.5100181,127.0347773,논현종합시장,그 밖의 대규모점포,대규모점포
3220000,1987/02/02,,1,영업/정상,1,정상영업,2023/01/02,,,,0,서울특별시 강남구 논현동 105번지 7호,"서울특별시 강남구 언주로 726 (논현동, 두산빌딩)",37.5190748,127.0352982,두산아케이드,그 밖의 대규모점포,대규모점포
3220000,1979/04/10,,2,휴업,2,휴업처리,2023/01/02,,,,,서울특별시 강남구 압구정동 456호,,,,금강상가,그 밖의 대규모점포,
3220000,1976/08/07,,1,영업/정상,1,정상영업,2023/01/02,,,,2059,서울특별시 강남구 압구정동 454호,서울특별시 강남구 압구정로29길 72-1 (압구정동),37.5322852,127.0283977,신사상가,그 밖의 대규모점포,대규모점포
3220000,1985/07/08,,1,영업/정상,1,정상영업,2023/01/02,,,,10250,서울특별시 강남구 압구정동 515호,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",37.5280802,127.0415695,갤러리아백화점(동관),백화점,
3220000,1978/05/26,,3,폐업,3,폐업처리,2014/03/24,20110415,20140430,,0,서울특별시 강남구 청담동 122호,서울특별시 강남구 도산대로85길 30 (청담동),37.5264323,127.0496672,청담제일시장,그 밖의 대규모점포,대규모점포
3220000,1980/05/19,,1,영업/정상,1,정상영업,2023/01/02,,,,0,서울특별시 강남구 청담동 134번지 20호,서울특별시 강남구 학동로101길 26 (청담동),37.5223046,127.0577361,청담삼익시장,그 밖의 대규모점포,대규모점포
3220000,1983/10/11,,3,폐업,3,폐업처리,2010/12/30,,,,0,서울특별시 강남구 삼성동 122번지 8 호,서울특별시 강남구 봉은사로72길 39 (삼성동),37.5100162,127.0526139,삼성종합시장,시장,대규모점포
3220000,1985/02/06,,1,영업/정상,1,정상영업,2023/01/02,,,,0,서울특별시 강남구 대치동 500호,"서울특별시 강남구 남부순환로 2912 (대치동, 개포우성아파트)",37.4908388,127.0572409,그랑프리,그 밖의 대규모점포,대규모점포
