Admin_District,Type,YearBuilt,Address,Area,y,Latitude,Longitude
청담동,아파트,2017,서울특별시 강남구 영동대로141길 14,223.1,350000,37.5234783,127.05348
청담동,아파트,2010,서울특별시 강남구 영동대로142길 19,192.86,350000,37.5245879,127.0553616
청담동,아파트,1999,서울특별시 강남구 도산대로83길 27,218.94,350000,37.5262897,127.0482068
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,203.8757,350000,37.5227799,127.0536236
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,232.9557,350000,37.5227799,127.0536236
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,232.9557,350000,37.5227799,127.0536236
도곡동,아파트,2009,서울특별시 강남구 남부순환로378길 9,243.36,350000,37.4858149,127.0467989
도곡동,아파트,2018,서울특별시 강남구 남부순환로373길 23,213.94,350000,37.487837,127.0438359
청담동,아파트,2000,서울특별시 강남구 압구정로77길 43,247.78,350000,37.5279755,127.0481431
삼성동,아파트,2004,서울특별시 강남구 영동대로 640,175.052,345000,37.5182869,127.05934
대치동,아파트,2005,서울특별시 강남구 선릉로 206,145.83,340000,37.4927927,127.0557447
도곡동,아파트,2002,서울특별시 강남구 언주로30길 56,164.97,340000,37.4882228,127.0544393
도곡동,아파트,2004,서울특별시 강남구 언주로30길 26,214.967,340000,37.4873359,127.0528298
도곡동,아파트,2004,서울특별시 강남구 언주로30길 26,235.74,340000,37.4873359,127.0528298
압구정동,아파트,1979,서울특별시 강남구 압구정로 201,245.2,340000,37.5296583,127.0308297
청담동,아파트,1999,서울특별시 강남구 선릉로190길 84,243.21,340000,37.5284704,127.0481189
삼성동,아파트,2008,서울특별시 강남구 영동대로114길 72,241.83,336000,37.5178473,127.0646733
대치동,아파트,2008,서울특별시 강남구 선릉로 222,149.78,330000,37.4950563,127.0545628
도곡동,아파트,2004,서울특별시 강남구 언주로30길 26,214.967,330000,37.4873359,127.0528298
삼성동,아파트,2004,서울특별시 강남구 영동대로 640,156.857,330000,37.5182869,127.05934
청담동,아파트,2010,서울특별시 강남구 영동대로142길 21,183.5,330000,37.5248281,127.0552506
청담동,아파트,2010,서울특별시 강남구 영동대로142길 21,183.5,330000,37.5248281,127.0552506
청담동,아파트,2003,서울특별시 강남구 선릉로190길 64,243.49,330000,37.5288896,127.0466479
청담동,아파트,1999,서울특별시 강남구 도산대로83길 27,240.45,330000,37.5262897,127.0482068
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,203.8757,325000,37.5227799,127.0536236
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,203.8757,325000,37.5227799,127.0536236
청담동,아파트,2017,서울특별시 강남구 학동로97길 51,203.8757,325000,37.5227799,127.0536236
도곡동,아파트,2006,서울특별시 강남구 선릉로 221,176.9924,320000,37.4935415,127.0505473
도곡동,아파트,2003,서울특별시 강남구 언주로30길 57,176.72,320000,37.4897104,127.0544907
도곡동,아파트,2003,서울특별시 강남구 언주로30길 57,176.72,320000,37.4897104,127.0544907
도곡동,아파트,2004,서울특별시 강남구 언주로30길 26,214.967,320000,37.4873359,127.0528298
삼성동,아파트,2004,서울특별시 강남구 영동대로 640,195.388,320000,37.5182869,127.05934
삼성동,아파트,2008,서울특별시 강남구 영동대로114길 72,241.83,320000,37.5178473,127.0646733
대치동,아파트,2005,서울특별시 강남구 선릉로 206,145.83,317000,37.4927927,127.0557447
대치동,아파트,2015,서울특별시 강남구 삼성로51길 37,114.14,315000,37.4942974,127.0580036
도곡동,아파트,2003,서울특별시 강남구 언주로30길 57,223.59,315000,37.4897104,127.0544907
도곡동,아파트,2003,서울특별시 강남구 언주로30길 57,244.04,315000,37.4897104,127.0544907
대치동,아파트,1983,서울특별시 강남구 선릉로 120,189.98,310000,37.491125,127.059896
대치동,아파트,2008,서울특별시 강남구 선릉로 222,149.78,310000,37.4950563,127.0545628
도곡동,아파트,2003,서울특별시 강남구 언주로30길 57,223.59,310000,37.4897104,127.0544907
대치동,아파트,2005,서울특별시 강남구 선릉로 206,161.47,304500,37.4927927,127.0557447
대치동,아파트,1983,서울특별시 강남구 선릉로 120,189.98,300000,37.491125,127.059896
대치동,아파트,2017,서울특별시 강남구 삼성로51길 25,112.0834,300000,37.4957694,127.0603513
대치동,아파트,2008,서울특별시 강남구 선릉로 222,149.78,300000,37.4950563,127.0545628
