,개방자치단체코드,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,소재지면적,지번주소,도로명주소,Latitude,Longitude,사업장명,업태구분명,점포구분명
26,3220000,20110623,,1,영업/정상,1,정상영업,0.0,서울특별시 강남구 논현1동 140번지 외 44필지,"서울특별시 강남구 강남대로124길 22, 3층 301호 (논현동)",37.5091675,127.0245837,영동전통시장,그 밖의 대규모점포,대규모점포
27,3220000,20130215,,1,영업/정상,1,정상영업,3718.56,,서울특별시 강남구 학동로4길 15 (논현동),37.5105327,127.0235227,동화상가(주),그 밖의 대규모점포,대규모점포
28,3220000,20130604,,1,영업/정상,1,정상영업,231.0,,서울특별시 강남구 학동로 176 (논현동),37.5135239,127.0301914,홈플러스익스프레스 학동역점,구분없음,준대규모점포
29,3220000,20140325,,1,영업/정상,1,정상영업,3246.51,,서울특별시 강남구 도산대로85길 30 (청담동),37.5264323,127.0496672,신원아침도시마인상가,그 밖의 대규모점포,대규모점포
30,3220000,20111124,,1,영업/정상,1,정상영업,177.7,,서울특별시 강남구 역삼로 230 (역삼동),37.4968936,127.0419635,롯데슈퍼 역삼2동점,구분없음,준대규모점포
31,3220000,20111202,,1,영업/정상,1,정상영업,336.2,,서울특별시 강남구 역삼로8길 15 (역삼동),37.4931369,127.0342293,롯데슈퍼 역삼1동점,구분없음,준대규모점포
32,3220000,20120119,,1,영업/정상,1,정상영업,177.8,,"서울특별시 강남구 언주로122길 25 (논현동, 두산위브아파트)",37.5144337,127.0243283,롯데슈퍼 논현점,구분없음,준대규모점포
33,3220000,20120702,,1,영업/정상,1,정상영업,730.7,,서울특별시 강남구 선릉로 660 (삼성동),37.513975,127.0561274,밀구루 삼성점,구분없음,준대규모점포
34,3220000,20120702,,1,영업/정상,1,정상영업,503.8,,"서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)",37.4868514,127.0487982,롯데슈퍼 도곡점,구분없음,준대규모점포
35,3220000,20140916,,1,영업/정상,1,정상영업,510.88,서울특별시 강남구 논현동 140번지,"서울특별시 강남구 강남대로128길 128-20, 1층 101,104,106호 (논현동, 영동프라자)",37.5111262,127.0254209,(주)지에스리테일 GS슈퍼 강남 논현점,구분없음,준대규모점포
36,3220000,19840208,,1,영업/정상,1,정상영업,11740.39,서울특별시 강남구 대치동 511번지 한보미도맨션,"서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)",37.4933928,127.0673501,한보종합상가,그 밖의 대규모점포,대규모점포
37,3220000,19961115,,1,영업/정상,1,정상영업,12025.9,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),37.499217,127.0484398,한솔필리아,그 밖의 대규모점포,대규모점포
38,3220000,19741110,,1,영업/정상,1,정상영업,3062.7,서울특별시 강남구 신사동 510번지 11호,서울특별시 강남구 압구정로2길 46 (신사동),37.5187712,127.0206688,강남시장,복합쇼핑몰,대규모점포
39,3220000,19790117,,1,영업/정상,1,정상영업,0.0,서울특별시 강남구 논현동 227번지 4호,서울특별시 강남구 봉은사로33길 33 (논현동),37.5100181,127.0347773,논현종합시장,그 밖의 대규모점포,대규모점포
40,3220000,19870202,,1,영업/정상,1,정상영업,0.0,서울특별시 강남구 논현동 105번지 7호,"서울특별시 강남구 언주로 726 (논현동, 두산빌딩)",37.5190748,127.0352982,두산아케이드,그 밖의 대규모점포,대규모점포
41,3220000,19940615,,1,영업/정상,1,정상영업,0.0,서울특별시 강남구 일원동 711번지 1호,"서울특별시 강남구 양재대로55길 6 (일원동, 도시개발아파트)",37.4909601,127.0899157,수서1-2단지상가,그 밖의 대규모점포,대규모점포
42,3220000,19851130,,1,영업/정상,1,정상영업,37604.54,서울특별시 강남구 압구정동 429번지,"서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점)",37.5273268,127.0274265,(주)현대백화점 본점,백화점,대규모점포
43,3220000,19881010,,1,영업/정상,1,정상영업,46111.46,서울특별시 강남구 삼성동 159번지 7호,"서울특별시 강남구 테헤란로 517 (삼성동, 무역센터현대백화점)",37.5086154,127.0597808,현대백화점 무역센터점,백화점,대규모점포
44,3220000,20120726,,1,영업/정상,1,정상영업,170.28,서울특별시 강남구 신사동 660번지 18호,서울특별시 강남구 압구정로46길 5-2 (신사동),37.5280518,127.0368914,홈플러스 익스프레스 압구정점,구분없음,준대규모점포
45,3220000,20120518,,1,영업/정상,1,정상영업,272.02,,"서울특별시 강남구 압구정로18길 25 (신사동, 한국산업양행빌딩)",37.5233078,127.0254152,(주)지에스리테일 신사점,구분없음,준대규모점포
46,3220000,20210319,,1,영업/정상,5,영업개시전,7511.51,서울특별시 강남구 역삼동 676 센터필드,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",37.5030426,127.041588,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),그 밖의 대규모점포,대규모점포
