스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도
2005-05-26,,스타벅스포이점,서울특별시 강남구 논현로 88,37.4778182,127.0451456
2013-07-05,,스타벅스커피 역삼포스코점,서울특별시 강남구 테헤란로 134,37.4994355,127.0335909
2004-12-08,,스타벅스 압구정미소점,서울특별시 강남구 논현로 841,37.5240574,127.0279161
2020-10-27,,스타벅스 코엑스아셈타워점,서울특별시 강남구 영동대로 517,37.5125207,127.0588194
2021-06-01,,스타벅스 도산사거리점,서울특별시 강남구 언주로 727,37.519602,127.0340556
2021-07-16,,스타벅스 센터필드R점,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
2021-07-23,,스타벅스 삼성동점,서울특별시 강남구 영동대로96길 12,37.5107257,127.0635283
2018-08-23,,스타벅스 압구정R점,서울특별시 강남구 언주로 861,37.5274105,127.0330945
2018-08-23,,스타벅스 양재강남빌딩R점,서울특별시 강남구 남부순환로 2621,37.4853306,127.0366142
2020-05-26,,스타벅스 봉은사역점,서울특별시 강남구 봉은사로 619,37.5150389,127.0631304
2011-09-06,,스타벅스 도산가로수길,서울특별시 강남구 도산대로 134,37.5173244,127.0234197
2017-03-16,,스타벅스커피 강남구청정문점,서울특별시 강남구 학동로 419,37.5183507,127.0459641
2019-11-25,,스타벅스 신사역성일빌딩점,서울특별시 강남구 강남대로 584,37.513958,127.0206632
2019-07-26,,스타벅스 국기원사거리점,서울특별시 강남구 테헤란로 125,37.499615,127.0316758
2018-11-08,,스타벅스 논현역사거리점,서울특별시 강남구 강남대로 538,37.5102476,127.0223774
2018-11-08,,스타벅스 삼성역섬유센터R점,서울특별시 강남구 테헤란로 518,37.5074573,127.0606353
2019-06-03,,스타벅스 역삼아레나빌딩점,서울특별시 강남구 언주로 425,37.5011085,127.0428933
2011-06-02,,스타벅스 신압구정점,서울특별시 강남구 언주로174길 29,37.5281398,127.0364245
2010-08-30,,스타벅스 압구정로데오역,서울특별시 강남구 선릉로 836,37.5265458,127.0405746
2007-12-18,,스타벅스 압구정로점,서울특별시 강남구 압구정로42길 32,37.5268048,127.0347295
2016-12-21,,스타벅스커피 청담영동대로점,서울특별시 강남구 영동대로 720,37.5222132,127.0565181
2015-09-09,,스타벅스커피 학동사거리점,서울특별시 강남구 도산대로 328,37.5224015,127.0379633
2014-02-18,,스타벅스커피 청담사거리점,서울특별시 강남구 도산대로 458,37.5237869,127.0468574
2013-09-10,,스타벅스 커피 청담점,서울특별시 강남구 도산대로 532,37.5243529,127.051588
2008-12-03,,스타벅스 삼성현대힐점,서울특별시 강남구 삼성로 605,37.5135167,127.0527215
2004-08-23,,스타벅스학동역점,서울특별시 강남구 논현로 704,37.5146533,127.0307242
2011-07-08,2023-02-24,스타벅스청담공원점,서울특별시 강남구 학동로 506,37.5187993,127.0513941
2011-08-25,2023-02-24,스타벅스청담사거리,서울특별시 강남구 도산대로 523,37.5249521,127.0506343
2010-05-11,2022-05-16,스타벅스 뱅뱅사거리점,서울특별시 강남구 강남대로 282,37.4885631,127.0324757
2013-03-12,2020-11-09,스타벅스 삼성역점,서울특별시 강남구 테헤란로103길 9,37.5100884,127.0638762
2003-04-22,2021-04-02,스타벅스기술센터점,서울특별시 강남구 테헤란로 305,37.5032976,127.0436475
2006-05-24,2021-07-20,스타벅스수서점,서울특별시 강남구 밤고개로1길 10,37.4880163,127.1018486
2011-11-10,2022-11-10,스타벅스 차병원사거리,서울특별시 강남구 봉은사로 213,37.5080436,127.035373
2009-12-10,2023-01-03,스타벅스 역삼역점,서울특별시 강남구 테헤란로 145,37.5008,127.0351565
