스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도,맥날 인허가일자,맥날 폐업일자,강남구 맥도날드,맥도날드 도로명주소,맥도날드 위도,맥도날드 경도,강남구 미쉐린,미쉐린 도로명주소,미쉐린 위도,미쉐린 경도
2006-04-14,,스타벅스아크플레이스,서울특별시 강남구 테헤란로 142,37.4997187,127.0348982,,,,,,,무니,서울특별시 강남구 도산대로 72길 16,37.5229456,127.0454854
2021-09-14,,스타벅스 수서역사거리점,서울특별시 강남구 광평로 280,37.4873264,127.1031402,,,,,,,쿠시아게 진,서울특별시 강남구 선릉로 148길 52-10,37.52243,127.0437001
2021-04-08,,스타벅스 강남세곡점,서울특별시 강남구 헌릉로569길 18,37.467293,127.0999374,,,,,,,에빠뉘,서울특별시 강남구 선릉로 146길 33,37.5218771,127.042549
2017-08-22,,스타벅스도곡공원점,서울특별시 강남구 도곡로 205,37.493112,127.041268,,,,,,,레스토랑 오와이,서울특별시 강남구 선릉로 148길 48-12,37.5222227,127.0432614
2014-08-21,,스타벅스커피 도곡역점,서울특별시 강남구 남부순환로 2909,37.4922077,127.0573813,,,,,,,필레터,서울특별시 강남구 선릉로 148길40-4,37.5224389,127.0427292
2012-01-05,,스타벅스 역삼럭키,서울특별시 강남구 도곡로 183,37.49227,127.039393,,,,,,,산다이,서울특별시 강남구 선릉로 148길 48,37.5227344,127.0433975
2022-05-10,,스타벅스 강남역신분당역사점,서울특별시 강남구 강남대로 지하,37.5061648,127.0257813,,,,,,,오쏜도,서울특별시 강남구 선릉로 146길 27-8,37.5222779,127.0423149
2021-12-03,,스타벅스 강남논현점,서울특별시 강남구 강남대로 512,37.5078464,127.0233683,,,,,,,시오,서울특별시 강남구 도산대로54길 33,37.5205317,127.0392243
2022-06-28,,스타벅스 삼성역점,서울특별시 강남구 테헤란로 620,37.5092048,127.0654863,,,,,,,알라 프리마,서울특별시 강남구 학동로 17길 13,37.513565,127.0260239
2020-04-13,,스타벅스 코엑스 별마당점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194,,,,,,,일판,서울특별시 강남구 도산대로 420,37.5230411,127.0419873
2016-02-23,,스타벅스커피 포스코사거리점,서울특별시 강남구 테헤란로 505,37.507586,127.0574469,,,,,,,스시 마츠모토,서울특별시 강남구 도산대로 75길 24,37.5252536,127.0457722
2020-12-29,,스타벅스 테헤란로아남타워점,서울특별시 강남구 테헤란로 311,37.5038296,127.044828,,,,,,,볼트 스테이크하우스,서울특별시 강남구 압구정로 72길 22,37.5250201,127.0449728
2020-11-23,,스타벅스 역삼이마트점,서울특별시 강남구 역삼로 310,37.499217,127.0484398,,,,,,,권숙수,서울특별시 강남구 압구정로 80길 37,37.524384,127.0435585
2015-09-21,,스타벅스커피 선정릉역점,서울특별시 강남구 봉은사로 407,37.5107842,127.0445632,,,,,,,밍글스,서울특별시 강남구 도산대로 67길 19,37.525389,127.0441743
2011-08-25,,스타벅스논현힐탑,서울특별시 강남구 논현로 648,37.5115769,127.0321974,,,,,,,옳음,서울특별시 강남구 선릉로 152길 37,37.5246691,127.0427083
2016-11-08,,스타벅스 강남우성점,서울특별시 강남구 강남대로 328,37.4923581,127.0307076,,,,,,,레스쁘아 뒤 이부,서울특별시 강남구 도산대로 59길 16,37.5247473,127.0423846
2005-08-05,,스타벅스 지에스타워점,서울특별시 강남구 논현로 508,37.5020938,127.0367984,,,,,,,라미띠에,서울특별시 강남구 도산대로 67길 30,37.5259563,127.044561
2012-02-24,,스타벅스코엑스사거리,서울특별시 강남구 영동대로 616,37.5153901,127.0601242,,,,,,,오프닝,서울특별시 강남구 도산대로 34길 22,37.5189052,127.0310597
2010-03-17,,스타벅스 르네상스사거리점,서울특별시 강남구 테헤란로 306,37.5025912,127.0441026,,,,,,,일드청담,서울특별시 강남구 도산대로 59길 13,37.5246608,127.0419249
2014-12-08,,스타벅스 신사역점,서울특별시 강남구 도산대로 108,37.5162574,127.0206194,,,,,,,코지마,서울특별시 강남구 압구정로 60길 21,37.5259514,127.041927
2017-08-16,,스타벅스 강남오거리점,서울특별시 강남구 봉은사로2길 39,37.5020948,127.0266668,,,,,,,알고리즘,서울특별시 강남구 도산대로 49길 8,37.5233671,127.0374302
2014-02-25,,스타벅스커피 코엑스몰점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194,,,,,,,정식당,서울특별시 강남구 선릉로 158길 11,37.5256734,127.0410846
2017-08-14,,스타벅스 강남R점,서울특별시 강남구 강남대로 390,37.4978461,127.0286372,,,,,,,기가스,서울특별시 강남구 도산대로 45길 8-7,37.5230466,127.0364008
2014-07-28,,스타벅스커피 서울세관사거리점,서울특별시 강남구 언주로 650,37.5150307,127.0359349,,,,,,,비스트로 드 욘트빌,서울특별시 강남구 선릉로 158길 13-7,37.5260412,127.0411927
2017-05-01,,스타벅스 스타필드코엑스몰R점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194,,,,,,,볼피노,서울특별시 강남구 도산대로 45길 10-7,37.5234966,127.0364206
2005-03-07,,스타벅스큰길타워점,서울특별시 강남구 테헤란로 223,37.5023658,127.0407171,,,,,,,소이연남마오,서울특별시 강남구 도산대로 53길 30,37.5251463,127.0389161
2013-04-19,,스타벅스 삼성교점,서울특별시 강남구 영동대로86길 12,37.5078241,127.0651891,,,,,,,트리드,서울특별시 강남구 선릉로 162길 16,37.5266961,127.0416829
2018-06-08,,스타벅스 수서역R점,서울특별시 강남구 광평로 281,37.4880028,127.1026639,,,,,,,우가,서울특별시 강남구 도산대로 49길 22,37.5243885,127.0373578
2013-06-20,,스타벅스커피 역삼대로점,서울특별시 강남구 테헤란로 211,37.5018239,127.0390557,,,,,,,현우동,서울특별시 강남구 논현로 149길 53,37.5170069,127.024286
2014-03-20,,스타벅스커피 역삼초교사거리점,서울특별시 강남구 역삼로 123,37.4942547,127.0328547,,,,,,,고료리 켄,서울특별시 강남구 언주로 152길 15-3,37.5230149,127.0347969
2002-03-25,,스타벅스삼성점,서울특별시 강남구 테헤란로 443,37.507038,127.0555548,,,,,,,안티트러스트,서울특별시 강남구 선릉로 162길 12,37.526753,127.0414632
2013-07-16,,스타벅스커피 삼성도심공항점,서울특별시 강남구 테헤란로87길 33,37.5098065,127.0578853,,,,,,,솔밤,서울특별시 강남구 도산대로 37길 6,37.5214168,127.0316876
2013-06-18,,스타벅스커피 강남대로점,서울특별시 강남구 강남대로 456,37.5031806,127.0256302,,,,,,,더 그린테이블,서울특별시 강남구 선릉로 155길 13,37.525346,127.0385762
